ObjectID,TOOLTIP,Battalion,Division,District,Battalion_Name,District_Name
1,Fire Battalion: 18\nFire Division: South Division\nFire District: 58,18,South Division,58,Battalion 18,District 58
2,Fire Battalion: 9\nFire Division: North Division\nFire District: 23,9,North Division,23,Battalion 9,District 23
3,Fire Battalion: 2\nFire Division: South Division\nFire District: 47,2,South Division,47,Battalion 2,District 47
4,Fire Battalion: 2\nFire Division: South Division\nFire District: 55,2,South Division,55,Battalion 2,District 55
5,Fire Battalion: 4\nFire Division: South Division\nFire District: 62,4,South Division,62,Battalion 4,District 62
6,Fire Battalion: 10\nFire Division: North Division\nFire District: 88,10,North Division,88,Battalion 10,District 88
7,Fire Battalion: 14\nFire Division: North Division\nFire District: 60,14,North Division,60,Battalion 14,District 60
8,Fire Battalion: 17\nFire Division: North Division\nFire District: 73,17,North Division,73,Battalion 17,District 73
9,Fire Battalion: 13\nFire Division: South Division\nFire District: 64,13,South Division,64,Battalion 13,District 64
10,Fire Battalion: 4\nFire Division: South Division\nFire District: 51,4,South Division,51,Battalion 4,District 51
11,Fire Battalion: 18\nFire Division: South Division\nFire District: 61,18,South Division,61,Battalion 18,District 61
12,Fire Battalion: 2\nFire Division: South Division\nFire District: 44,2,South Division,44,Battalion 2,District 44
13,Fire Battalion: 2\nFire Division: South Division\nFire District: 16,2,South Division,16,Battalion 2,District 16
14,Fire Battalion: 14\nFire Division: North Division\nFire District: 108,14,North Division,108,Battalion 14,District 108
15,Fire Battalion: 4\nFire Division: South Division\nFire District: 95,4,South Division,95,Battalion 4,District 95
16,Fire Battalion: 1\nFire Division: South Division\nFire District: 10,1,South Division,10,Battalion 1,District 10
17,Fire Battalion: 6\nFire Division: South Division\nFire District: 85,6,South Division,85,Battalion 6,District 85
18,Fire Battalion: 13\nFire Division: South Division\nFire District: 33,13,South Division,33,Battalion 13,District 33
19,Fire Battalion: 2\nFire Division: South Division\nFire District: 12,2,South Division,12,Battalion 2,District 12
20,Fire Battalion: 13\nFire Division: South Division\nFire District: 66,13,South Division,66,Battalion 13,District 66
21,Fire Battalion: 6\nFire Division: South Division\nFire District: 48,6,South Division,48,Battalion 6,District 48
22,Fire Battalion: 11\nFire Division: South Division\nFire District: 13,11,South Division,13,Battalion 11,District 13
23,Fire Battalion: 12\nFire Division: North Division\nFire District: 24,12,North Division,24,Battalion 12,District 24
24,Fire Battalion: 15\nFire Division: North Division\nFire District: 87,15,North Division,87,Battalion 15,District 87
25,Fire Battalion: 9\nFire Division: North Division\nFire District: 71,9,North Division,71,Battalion 9,District 71
26,Fire Battalion: 15\nFire Division: North Division\nFire District: 103,15,North Division,103,Battalion 15,District 103
27,Fire Battalion: 1\nFire Division: South Division\nFire District: 17,1,South Division,17,Battalion 1,District 17
28,Fire Battalion: 10\nFire Division: North Division\nFire District: 90,10,North Division,90,Battalion 10,District 90
29,Fire Battalion: 6\nFire Division: South Division\nFire District: 101,6,South Division,101,Battalion 6,District 101
30,Fire Battalion: 4\nFire Division: South Division\nFire District: 63,4,South Division,63,Battalion 4,District 63
31,Fire Battalion: 15\nFire Division: North Division\nFire District: 8,15,North Division,8,Battalion 15,District 8
