OBJECTID,Area Name,SQMILE,ACREAGE,Area Type,FullName,District,Code,Shape__Area,Shape__Length
1,Yolo,52.35001911,33504.11662806,Fire District,Yolo Fire Protection District,District,YOL,1464251864.37163,239554.977398993
2,Zamora,52.70604886,33731.97637719,Fire District,Zamora Fire Protection District,District,ZAM,1484133211.93555,202511.962306658
3,Capay Valley,172.41461703,110345.69873145,Fire District,Capay Valley Fire Protection District,District,PAY,4740853546.60547,469290.301397991
4,Dunnigan,109.9238972,70351.5134233,Fire District,Dunnigan Fire Protection District,District,DNN,3064869569.1217,347434.630411768
5,Willow Oak,33.64363265,21531.99199142,Fire District,Willow Oak Fire Protection District,District,WOF,938954016.50444,156192.911213099
6,Madison,66.13265974,42325.034119,Fire District,Madison Fire Protection District,District,MDS,1840423519.77148,287051.642679693
7,Knights Landing,37.00350072,23682.31425689,Fire District,Knights Landing Fire Protection District,District,KNI,1015888932.18798,282361.612805149
8,Elkhorn,47.98246866,30708.87562866,Fire District,Elkhorn Fire Protection District,District,EHF,1343038937.93945,250748.560840716
9,No Mans Land,55.68619317,35639.2746813,Fire District,No Mans Land Fire Protection District,District,DFD,1559173253.94073,188452.805834445
10,Davis,10.05109775,6432.72260677,Fire Department,Davis Fire Department,District,DFD,281114200.837929,120693.980718948
11,West Plainfield,33.15712858,21220.62841547,Fire District,West Plainfield Fire Protection District,District,WPL,927012459.383026,134907.558203476
12,Esparto,75.25221302,48161.56639929,Fire District,Esparto Fire Protection District,District,ESP,2100272289.31641,267804.575358081
13,Woodland,15.83138085,10132.11531486,Fire Department,Woodland Fire Department,District,WDL,400373141.7276,119682.287949742
14,Winters,78.95040383,50528.41589721,Fire District,Winters Fire Protection District,District,WNF,2198555976.31638,267011.513024921
15,Winters,2.54232191,1627.09109447,Fire Department,Winters Fire Department,District,WNF,71182979.367218,63362.7050725224
16,Garcia Bend CSA #9 ,3.84535504,2461.03489627,Fire District,Garcia Bend County Service Area #9,District,WSF,109367855.785758,45309.9401454118
17,West Sacramento,23.0040062,14722.60984164,Fire Department,West Sacramento Fire Department,District,WSF,640235412.870781,119826.686466128
18,Springlake,50.99392393,32636.21300667,Fire District,Springlake Fire Protection District,District,WDL,1455352352.63805,360711.334132036
22,Clarksburg,54.16429417,34665.25628574,Fire District,Clarksburg Fire Protection District,District,CBF,1500857786.36014,185332.67268494
27,Capay Valley,172.41461703,110345.69873145,Fire District,Capay Valley Fire Protection District,District,PAY,339218.259765625,3656.44077727328
28,East Davis,45.53531733,29142.69389943,Fire District,East Davis Fire Protection District,District,DFD,233623.8515625,2280.85344269538
29,East Davis,45.53531733,29142.69389943,Fire District,East Davis Fire Protection District,District,DFD,775645.14138031,3582.48101216768
30,East Davis,45.53531733,29142.69389943,Fire District,East Davis Fire Protection District,District,DFD,1267221806.36961,196737.993708479
31,East Davis,45.53531733,29142.69389943,Fire District,East Davis Fire Protection District,District,DFD,138195.209960938,1830.2699626427
79,Yocha Dehe,172.41461703,110345.69873145,Fire District,Yocha Dehe Fire Department,District,,64756273.2197266,102648.108342362
